date,site,starttime,endtime,soilmoist1,soilmoist5,starttemp,startlum,startwind-min,startwind-max,startrh-min,startrh-max,endtemp,endlum,endwind-min,endwind-max,endrh-min,endrh-max,round,notes
6/3/2020,Brush Creek Hill,10:00,10:37,,,,,,,,,,,,,,,,
6/3/2020,Brush Creek Trail,11:20,11:50,,,,,,,,,,,,,,,,
6/3/2020,Stupid Falls,10:08,10:46,,,,,,,,,,,,,,,,
6/4/2020,Gothic Town,10:05,11:40,,,,,,,,,,,,,,,,
6/4/2020,Ohio Pass Low,11:30,12:15,,,,,,,,,,,,,,,,
6/5/2020,Meridian,11:40,11:50,,,,,,,,,,,,,,,,HOBO deployed at 11:35 - use 12:00 temp only
6/5/2020,Wash 3C,11:00,11:20,,,,,,,,,,,,,,,,HOBO deployed at 10:55 - use 11:30 temp only
6/5/2020,Pfeiler,10:10,10:30,,,,,,,,,,,,,,,,HOBO deployed at 10:05 - use 10:30 temp only
6/8/2020,Brush Creek Hill,10:23,10:52,,,,,,,,,,,,,,,,HOBO deployed at 9:50
6/8/2020,Brush Creek Trail,11:30,11:45,,,,,,,,,,,,,,,,HOBO deployed 11:19
6/8/2020,Ohio Pass Low,11:05,11:37,,,,,,,,,,,,,,,,HOBO deployed 10:52
6/10/2020,Stupid Falls,13:37,14:15,16,17,,,,,,,,,,,,,,HOBO deployed at 13:15. Soil moisture taken 6/11/20
6/10/2020,Gothic Town,13:26,14:48,19.3,22.5,,,,,,,,,,,,,,HOBO deployed 12:58. Soil moisture 1 taken at T2 S3 because T2 S1 was too rocky. Soil moisture taken 6/11/20
6/11/2020,403 Bench,10:28,10:44,21.2,16.3,,,,,,,,,,,,,,HOBO deployed 10:09
6/11/2020,Rustlers Gulch,11:40,12:30,24.2,16.9,,,,,,,,,,,,,,HOBO deployed 11:24
6/11/2020,Avery Picnic,11:14,12:10,16.9,21.6,,,,,,,,,,,,,,HOBO deployed 9:02
6/12/2020,Pfeiler,10:10,10:30,12,18.4,,,,,,,,,,,,,,
6/12/2020,Wash 3C,10:48,11:00,11.9,17.4,,,,,,,,,,,,,,
6/12/2020,Meridian,11:23,11:43,15.4,18.1,,,,,,,,,,,,,,
6/15/2020,Ohio Pass Low,10:00,10:15,19.3,12.7,,,,,,,,,,,,,,
6/15/2020,Ohio Pass High,10:55,11:11,15,10.6,,,,,,,,,,,,,,
6/15/2020,Kebler Pass,11:33,11:48,29.4,35.1,,,,,,,,,,,,,,HOBO deployed 11:46
6/15/2020,Lake Irwin,12:15,12:30,24.7,22.5,,,,,,,,,,,,,,HOBO deployed 12:08
6/16/2020,Stupid Falls,10:00,10:26,12.5,11.7,,,,,,,,,,,,,,
6/16/2020,Gothic Town,11:22,12:03,13.6,16.8,,,,,,,,,,,,,,Soil moisture 1 taken at T2 S3.
6/16/2020,Brush Creek Hill,10:08,10:34,29.4,35.1,,,,,,,,,,,,,,
6/16/2020,Brush Creek Trail,10:52,10:55,26.2,17,,,,,,,,,,,,,,
6/17/2020,Avery Picnic,10:32,11:26,17.2,11.9,,,,,,,,,,,,,,
6/17/2020,Rustlers Gulch,11:58,12:46,19.1,11.4,,,,,,,,,,,,,,
6/17/2020,403 Bench,10:40,10:47,14.8,6.2,,,,,,,,,,,,,,
6/17/2020,Emerald Lake Hill,14:21,14:37,12.2,12.4,,,,,,,,,,,,,,HOBO deployed 14:10
6/17/2020,Emerald Lake Shore,13:49,14:34,8.1,11.5,,,,,,,,,,,,,,HOBO deployed 13:25
6/18/2020,Virginia Basin,11:35,12:25,14.1,15.7,,,,,,,,,,,,,,HOBO deployed 11:08
6/18/2020,Pfeiler,11:00,11:13,11.9,13.1,,,,,,,,,,,,,,Soil moisture taken 6/19/20
6/18/2020,Wash 3C,10:05,10:35,11.8,11.9,,,,,,,,,,,,,,Soil moisture taken 6/19/20
6/18/2020,Meridian,12:00,12:46,15.7,9.6,,,,,,,,,,,,,,Soil moisture taken 6/19/20
6/22/2020,Ohio Pass Low,10:00,10:14,15.5,10.7,,,,,,,,,,,,,,
6/22/2020,Ohio Pass High,10:46,11:05,20.5,14.5,,,,,,,,,,,,,,
6/22/2020,Kebler Pass,11:24,11:41,30.4,31.9,,,,,,,,,,,,,,
6/22/2020,Lake Irwin,11:59,12:14,18.2,12.5,,,,,,,,,,,,,,
6/23/2020,Stupid Falls,12:47,13:15,10.5,7.9,,,,,,,,,,,,,,
6/23/2020,Gothic Town,10:22,11:45,6.9,14,,,,,,,,,,,,,,Soil moisture 1 taken at T2 S3.
6/23/2020,Brush Creek Hill,11:26,11:56,10.1,7.5,,,,,,,,,,,,,,
6/23/2020,Brush Creek Trail,10:25,10:54,19.9,11,,,,,,,,,,,,,,
6/24/2020,Avery Picnic,11:50,12:28,13.4,9,,,,,,,,,,,,,,Estimated start time - forgot to take it but definitely before noon.
6/24/2020,403 Bench,10:05,10:10,10.9,9.6,,,,,,,,,,,,,,
6/24/2020,Rustlers Gulch,10:08,10:45,19.6,10.9,,,,,,,,,,,,,,
6/24/2020,Emerald Lake Hill,13:32,14:01,12,13.9,,,,,,,,,,,,,,
6/24/2020,Emerald Lake Shore,13:49,14:56,14.8,12.4,,,,,,,,,,,,,,Pause from 14:18 to 14:36 to get more vials
6/25/2020,Virginia Basin,9:47,11:35,10.7,13.2,,,,,,,,,,,,,,
6/25/2020,Meridian,10:34,11:10,9.2,7.3,,,,,,,,,,,,,,Soil moisture taken 6/26/20
6/25/2020,Wash 3C,11:41,12:14,8.1,11.3,,,,,,,,,,,,,,Soil moisture taken 6/26/20
6/26/2020,Pfeiler,10:52,11:21,7.1,8.7,,,,,,,,,,,,,,
6/29/2020,Ohio Pass Low,12:12,12:26,13,10.7,,,,,,,,,,,,,,
6/29/2020,Ohio Pass High,11:27,11:41,7.6,11,,,,,,,,,,,,,,
6/29/2020,Kebler Pass,10:41,10:58,23.1,25.8,,,,,,,,,,,,,,
6/29/2020,Lake Irwin,10:08,10:21,15.4,11.8,,,,,,,,,,,,,,
6/30/2020,Stupid Falls,13:23,13:38,11.3,6.3,,,,,,,,,,,,,,
6/30/2020,Gothic Town,12:10,13:00,10.3,11.7,,,,,,,,,,,,,,Soil moisture 1 taken at T2 S3.
6/30/2020,Brush Creek Hill,10:40,11:10,6.9,4.9,,,,,,,,,,,,,,
6/30/2020,Brush Creek Trail,11:30,12:00,12.1,10.7,,,,,,,,,,,,,,
6/30/2020,Emerald Lake Hill,14:49,15:28,7.2,10.3,,,,,,,,,,,,,,
6/30/2020,Emerald Lake Shore,15:07,15:39,9.6,12.7,,,,,,,,,,,,,,
7/1/2020,Avery Picnic,10:38,11:35,8.4,11.5,,,,,,,,,,,,,,
7/1/2020,403 Bench,12:49,13:02,7.6,10.2,,,,,,,,,,,,,,
7/1/2020,Rustlers Gulch,12:01,12:47,8.6,7.3,,,,,,,,,,,,,,
7/2/2020,Virginia Basin,11:12,12:39,9.3,6.6,,,,,,,,,,,,,,
7/2/2020,Meridian,13:22,13:51,7,7.8,,,,,,,,,,,,,,Soil moisture taken 7/3/20
7/2/2020,Wash 3C,10:59,11:11,7.5,8.5,,,,,,,,,,,,,,Soil moisture taken 7/3/20
7/2/2020,Pfeiler,11:44,12:35,10.9,10.3,,,,,,,,,,,,,,Soil moisture taken 7/3/20
7/6/2020,Lake Irwin,10:08,10:29,18.8,9.1,,,,,,,,,,,,,,
7/6/2020,Kebler Pass,10:55,11:16,17.5,21.2,,,,,,,,,,,,,,
7/6/2020,Ohio Pass High,11:53,12:09,7.7,5.4,,,,,,,,,,,,,,
7/6/2020,Ohio Pass Low,12:41,12:55,8.4,9.7,,,,,,,,,,,,,,
7/7/2020,Gothic Town,12:10,13:22,7.5,11.7,,,,,,,,,,,,,,Soil moisture 1 taken at T2 S3.
7/7/2020,Stupid Falls,10:25,11:01,9.5,11.9,,,,,,,,,,,,,,
7/7/2020,Brush Creek Hill,11:57,12:30,5.9,6.1,,,,,,,,,,,,,,
7/7/2020,Brush Creek Trail,10:30,11:21,,,,,,,,,,,,,,,,
7/8/2020,Avery Picnic,10:33,11:06,12.3,10.7,,,,,,,,,,,,,,
7/8/2020,Rustlers Gulch,12:01,12:34,11.8,8,,,,,,,,,,,,,,Soil moisture taken 7/10/20
7/8/2020,403 Bench,12:17,12:52,8.6,6.8,,,,,,,,,,,,,,
7/8/2020,Emerald Lake Hill,14:01,14:21,7.2,7.9,,,,,,,,,,,,,,
7/8/2020,Emerald Lake Shore,13:17,13:42,7.9,11.5,,,,,,,,,,,,,,
7/9/2020,Virginia Basin,11:00,12:52,6.3,6.9,,,,,,,,,,,,,,
7/10/2020,Meridian,10:27,10:53,6.8,6.9,,,,,,,,,,,,,,
7/10/2020,Wash 3C,11:28,12:02,5.4,9.1,,,,,,,,,,,,,,
7/10/2020,Pfeiler,11:34,12:06,5.8,5.2,,,,,,,,,,,,,,
7/13/2020,Ohio Pass Low,10:01,10:18,10.5,8.9,,,,,,,,,,,,,,
7/13/2020,Stupid Falls,14:35,14:50,10.6,7.4,,,,,,,,,,,,,,Sample times are estimates. Rained until about 12:30.
7/14/2020,Avery Picnic,10:05,10:40,11.4,7.7,,,,,,,,,,,,,,
7/14/2020,403 Bench,11:51,12:24,9.5,7.1,,,,,,,,,,,,,,
7/14/2020,Rustlers Gulch,11:28,11:54,12,7.5,,,,,,,,,,,,,,Soil moisture taken late afternoon after rain/hail storm around 4pm
7/14/2020,Emerald Lake Hill,13:15,13:37,8.8,10.2,,,,,,,,,,,,,,
7/14/2020,Emerald Lake Shore,13:33,14:13,7.2,10.7,,,,,,,,,,,,,,
7/15/2020,Virginia Basin,10:40,12:38,11.8,7.2,,,,,,,,,,,,,,
7/15/2020,Brush Creek Hill,10:17,10:50,5.6,7.4,,,,,,,,,,,,,,
7/15/2020,Brush Creek Trail,11:23,11:59,12.1,8.1,,,,,,,,,,,,,,
7/15/2020,Gothic Town,12:40,13:24,10.8,7.8,,,,,,,,,,,,,,Soil moisture taken 7/20/20. Soil moisture 1 taken at T2 S3.
