date,site,plant,flowerheight,displaysize,Moisture Top,Moisture Middle,notes
6/2/2021,Gothic Town,Viola praemorsa,51,260.4,,,
6/2/2021,Gothic Town,Viola praemorsa,46,368.335,,,
6/2/2021,Gothic Town,Viola praemorsa,66,287.2449,,,
6/2/2021,Gothic Town,Viola praemorsa,28,178.065,,,
6/2/2021,Gothic Town,Viola praemorsa,45,191.0992,,,
6/2/2021,Gothic Town,Taraxacum officinale,67,548.97,,,
6/2/2021,Gothic Town,Taraxacum officinale,36,761.8264,,,
6/2/2021,Gothic Town,Taraxacum officinale,40,1051.5778,,,
6/2/2021,Gothic Town,Taraxacum officinale,70,1033.6189,,,
6/2/2021,Gothic Town,Taraxacum officinale,50,1019.3744,,,
6/7/2021,Avery Picnic,Viola praemorsa,60,262.0585,,,
6/7/2021,Avery Picnic,Viola praemorsa,116,404.0096,,,
6/7/2021,Avery Picnic,Viola praemorsa,55,307.2909,,,
6/7/2021,Avery Picnic,Viola praemorsa,130,223.1625,,,
6/7/2021,Avery Picnic,Viola praemorsa,75,276.0528,,,
6/7/2021,Avery Picnic,Taraxacum officinale,125,2139.9435,,,
6/7/2021,Avery Picnic,Taraxacum officinale,222,705.5826,,,
6/7/2021,Avery Picnic,Taraxacum officinale,130,1408.176,,,
6/7/2021,Avery Picnic,Taraxacum officinale,135,1079.409,,,
6/7/2021,Avery Picnic,Taraxacum officinale,75,1813.2025,,,
6/16/2021,Virginia Basin,Viola praemorsa,20,145.0812,,,
6/16/2021,Virginia Basin,Viola praemorsa,67,320.3571,,,
6/16/2021,Virginia Basin,Viola praemorsa,40,138.0141,,,
6/16/2021,Virginia Basin,Viola praemorsa,45,280.5273,,,
6/16/2021,Virginia Basin,Viola praemorsa,38,206.2802,,,
6/17/2021,Gothic Town,Potentilla pulcherrima,188,268.4472,,,
6/17/2021,Gothic Town,Potentilla pulcherrima,237,304.971,,,
6/17/2021,Gothic Town,Potentilla pulcherrima,196,386.1882,,,
6/17/2021,Gothic Town,Potentilla pulcherrima,269,300.8434,,,
