date,site,who,transect,segment,vial_number,specimen_number,gross_ID,plant,notes,round,start_time,end_time,insect_subfamily,insect_genus,insect_species,fine_ID,tray_num,pollen
7/6/2016,Gothic Town,LAT,P7,6,L1,15001,Other fly,Potentilla pulcherrima,,,,,,,,,,
7/6/2016,Gothic Town,LAT,P7,2,L2,15002,Other fly,Linum lewisii,,,,,,,,Empididae,,
7/6/2016,Gothic Town,LAT,P7,2,L3,15003,Other fly,Linum lewisii,,,,,Azeliinae,Thricops,,Thricops,,
7/6/2016,Gothic Town,LAT,P7,2,L4,15004,Other fly,Linum lewisii,,,,,Azeliinae,Thricops,,Thricops,,
7/6/2016,Gothic Town,LAT,P7,2,L5,15005,Other fly,Linum lewisii,,1,,,Azeliinae,Thricops,,Thricops,,
7/6/2016,Gothic Town,LAT,P7,2,L6,15006,Other fly,Linum lewisii,,1,,,Azeliinae,Thricops,,Thricops,,
7/6/2016,Gothic Town,LAT,P7,2,L7,15007,Other fly,Linum lewisii,,1,,,,,,Muscidae,,
7/6/2016,Gothic Town,LAT,P7,2,L8,15008,Other fly,Linum lewisii,,1,,,Azeliinae,Thricops,,Thricops,,
7/6/2016,Gothic Town,LAT,P7,2,L9,15009,Other fly,Linum lewisii,,1,,,,,,Empididae,,
7/6/2016,Gothic Town,LAT,P7,2,L10,15010,Other fly,Linum lewisii,,1,,,Azeliinae,Thricops,,Thricops,,
7/6/2016,Gothic Town,LAT,P7,2,L11,15011,Other fly,Linum lewisii,,1,,,Azeliinae,Thricops,,Thricops,,
7/6/2016,Gothic Town,LAT,P7,2,L12,15012,Syrphidae,Linum lewisii,doesn't say if 1 or 2,1,,,Syrphinae,Platycheirus,,Platycheirus 1,,
7/6/2016,Gothic Town,LAT,P7,2,L13,15013,Other fly,Linum lewisii,,1,,,Azeliinae,Thricops,,Thricops,,
7/6/2016,Gothic Town,LAT,P3,4,L14,15014,Other fly,Potentilla pulcherrima,,1,,,,,,Drymeia minor,2016_14,
7/6/2016,Gothic Town,LAT,P3,4,L15,15015,Other fly,Potentilla pulcherrima,,1,,,Azeliinae,Thricops,,Thricops,2016_35,
7/6/2016,Gothic Town,LAT,P3,4,L16,15016,Other fly,Potentilla pulcherrima,,1,,,,,,Drymeia minor,2016_14,
7/6/2016,Gothic Town,LAT,P3,4,L17,15017,Small black solitary bee,Potentilla pulcherrima,,1,,,Andreninae,Andrena,,Andrena,2016_31,
7/6/2016,Gothic Town,LAT,P5,4,L18,15018,Other fly,Linum lewisii,,1,,,,,,Drymeia minor,2016_14,
7/6/2016,Gothic Town,LAT,P5,4,L19,15019,Small black solitary bee,Potentilla pulcherrima,,1,,,Panurginae,Panurginus,cressoniellus,Panurginus cressoniellus,2016_32,
7/6/2016,Gothic Town,LAT,P3,8,L20,15020,Other fly,Potentilla pulcherrima,,1,,,,,,Drymeia/Hydrotaea,,
7/6/2016,Gothic Town,LAT,P3,8,L21,15021,Other fly,Potentilla pulcherrima,,1,,,Azeliinae,Thricops,,Thricops,2016_35,
7/6/2016,Gothic Town,LAT,P3,8,L22,15022,Small black solitary bee,Potentilla pulcherrima,,1,,,Panurginae,Panurginus,cressoniellus,Panurginus cressoniellus,2016_32,
7/6/2016,Gothic Town,LAT,P3,8,L23,15023,Other fly,Potentilla pulcherrima,,1,,,Azeliinae,Thricops,,Thricops,,
7/6/2016,Gothic Town,LAT,P3,8,L24,15024,Other fly,Potentilla pulcherrima,,1,,,Eristalinae,Cheilosia,,Cheilosia,,
7/6/2016,Gothic Town,LAT,P3,1,L25,15025,Other fly,Linum lewisii,,1,,,Azeliinae,Thricops,,Thricops,,
7/6/2016,Gothic Town,LAT,P1,7,L26,15026,Other fly,Ligusticum porteri,,1,,,Azeliinae,Thricops,,Thricops,,
7/6/2016,Gothic Town,LAT,P1,7,L27,15027,Other fly,Ligusticum porteri,,1,,,Rhagioninae,Symphoromyia,,Symphoromyia,2016_48,
7/6/2016,Gothic Town,DRM,P7,8,D1,15055,Other fly,Potentilla pulcherrima,,1,,,Azeliinae,Thricops,,Thricops,,
7/6/2016,Gothic Town,DRM,P5,2,D2,15056,Hemipteran,Boechera stricta,,1,,,,,,Pterophoridae,2016_10,
7/6/2016,Gothic Town,DRM,P5,2,D3,15057,Orthopteran,Grass,Discount?,1,,,,,,Miridae,2016_22,
7/6/2016,Gothic Town,DRM,P5,3,D4,15058,Other fly,Potentilla pulcherrima,,1,,,Azeliinae,Thricops,,Thricops,,
7/6/2016,Gothic Town,DRM,P1,2,D5,15059,Other fly,Potentilla pulcherrima,,1,,,Azeliinae,Thricops,,Thricops,,
7/6/2016,Gothic Town,DRM,P1,2,D6,15060,Other fly,Potentilla pulcherrima,,1,,,,,,,2016_66,
7/6/2016,Gothic Town,DRM,P7,7,D7,15061,Other fly,Hydrophyllum fendleri,Caught 3 in 1 sweep; unsure which on flower,1,,,Azeliinae,Thricops,,Thricops,2016_35,
7/6/2016,Gothic Town,DRM,P7,7,D7,15062,Other fly,Hydrophyllum fendleri,Caught 3 in 1 sweep; unsure which on flower,1,,,Rhagioninae,Symphoromyia,,Symphoromyia,2016_50,
7/6/2016,Gothic Town,DRM,P7,7,D7,15063,Other fly,Hydrophyllum fendleri,Caught 3 in 1 sweep; unsure which on flower,1,,,Rhagioninae,Symphoromyia,,Symphoromyia,,
